S.N,SECURITY_ID,SYMBOL,SECURITY_NAME
103,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED
104,2880,HDHPC,Himal Dolakha Hydropower Company Limited
105,4949,NIBSF2,NIBL Samriddhi Fund -2
106,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited
107,8100,SGHC,Swet-Ganga Hydropower & Construction Limited 
108,8108,RHGCL,Rapti Hydro And General Construction Limited
109,171,SANIMA,Sanima Bank Limited
110,179,HEI,Himalayan Everest Insurance Limited
111,188,LICN,Life Insurance Corporation (Nepal) Limited
112,194,NFS,Nepal Finance Ltd.
113,235,HDL,Himalayan Distillery Limited
114,245,CFCL,Central Finance Co. Ltd.
115,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd
116,697,API,Api Power Company Ltd.
117,2751,KKHC,Khanikhola Hydropower Co. Ltd.
118,2770,SEF,Siddhartha Equity Fund
119,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.
120,2903,LEC,Liberty Energy Company Limited
121,2919,NIFRA,Nepal Infrastructure Bank Limited
122,2937,SBCF,Sunrise Bluechip Fund
123,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited
124,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited
125,8055,BHL,Balephi Hydropower Limited
126,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited
127,139,NICA,NIC Asia Bank Ltd.
128,153,BPCL,Butwal Power Company Limited
129,176,NICL,Nepal Insurance Co. Ltd.
130,360,AHPC,Arun Valley Hydropower Development Co. Ltd.
131,385,ALICL,Asian Life Insurance Co. Limited
132,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited
133,450,CORBL,Corporate Development Bank Limited
134,686,BARUN,Barun Hydropower Co. Ltd.
135,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.
136,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited
137,2811,MHNL,Mountain Hydro Nepal Limited
138,2824,HURJA,Himalaya Urja Bikas Company Limited
139,4967,NICSF,NIC Asia Select Fund 30
140,8044,EBLD86,Everest Bank Limited
141,8075,BHDC,Bindhyabasini Hydropower Development Company Limited
142,8076,HHL,Himalayan Hydropower Limited
143,135,SBI,Nepal SBI Bank Limited
144,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited
145,232,GFCL,Goodwill Finance Limited
146,255,PRVU,Prabhu  Bank Limited
147,309,NICAP,NIC Asia Bank Limted Promoter Share
148,359,SRBL,Sunrise Bank Limited
149,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.
150,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd
151,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.
152,2754,DHPL,Dibyashwori Hydropower Ltd.
153,2765,LEMF,Laxmi Equity Fund
154,2766,CHL,Chhyangdi Hydropower Ltd.
155,2786,PMHPL,Panchakanya Mai Hydropower Ltd
156,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited
157,2902,LUK,Laxmi Unnati Kosh
158,2924,GLH,GreenLife Hydropower Limited
